名字:触不可及    分数:9.2    制片国家:法国    上映日期:2011-11-02    导演:奥利维埃·纳卡什 / 埃里克·托莱达诺    编剧:奥利维埃·纳卡什 / 埃里克·托莱达诺    主演:弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼 / 奥德雷·弗勒罗 / 托马·索利韦尔    类型:/剧情/喜剧    评论数::771208    五星比例:67.4%    四星比例:28.0%    三星比例:4.3%    二星比例:0.3%    一星比例:0.1%    
名字:控方证人    分数:9.6    制片国家:美国    上映日期:1957-12-17    导演:比利·怀德    编剧:阿加莎·克里斯蒂 / 比利·怀德 / 哈里·库尼兹    主演:泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿 / 爱尔莎·兰切斯特 / 约翰·威廉姆斯 / 更多...    类型:/剧情/悬疑/犯罪    评论数::330447    五星比例:81.7%    四星比例:16.5%    三星比例:1.6%    二星比例:0.1%    一星比例:0.1%    
名字:蝙蝠侠：黑暗骑士    分数:9.2    制片国家:美国 / 英国    上映日期:2008-07-14    导演:克里斯托弗·诺兰    编剧:乔纳森·诺兰 / 克里斯托弗·诺兰 / 大卫·S·高耶    主演:克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 / 迈克尔·凯恩 / 玛吉·吉伦哈尔 / 更多...    类型:/剧情/动作/科幻/惊悚/犯罪    评论数::807256    五星比例:66.9%    四星比例:26.5%    三星比例:5.9%    二星比例:0.5%    一星比例:0.2%    
名字:活着    分数:9.3    制片国家:中国大陆 / 中国香港    上映日期:1994-06-30    导演:张艺谋    编剧:芦苇 / 余华    主演:葛优 / 巩俐 / 姜武 / 牛犇 / 郭涛 / 更多...    类型:/剧情/家庭/历史    评论数::627431    五星比例:68.1%    四星比例:27.2%    三星比例:4.3%    二星比例:0.3%    一星比例:0.1%    
名字:末代皇帝    分数:9.3    制片国家:英国 / 意大利 / 中国大陆 / 法国    上映日期:1987-10-04    导演:贝纳尔多·贝托鲁奇    编剧:贝纳尔多·贝托鲁奇 / 马克·派普罗    主演:尊龙 / 陈冲 / 邬君梅 / 彼得·奥图尔 / 英若诚 / 更多...    类型:/剧情/传记/历史    评论数::599741    五星比例:68.6%    四星比例:26.7%    三星比例:4.3%    二星比例:0.3%    一星比例:0.1%    
名字:寻梦环游记    分数:9.1    制片国家:美国    上映日期:2017-11-24    导演:李·昂克里奇 / 阿德里安·莫利纳    编剧:阿德里安·莫利纳 / 马修·奥尔德里奇 / 李·昂克里奇 / 詹森·卡茨    主演:安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / 本杰明·布拉特 / 阿兰娜·乌巴赫 / 芮妮·维克托 / 更多...    类型:/喜剧/动画/音乐/奇幻    评论数::1204030    五星比例:61.8%    四星比例:31.0%    三星比例:6.8%    二星比例:0.4%    一星比例:0.1%    
名字:乱世佳人    分数:9.3    制片国家:美国    上映日期:1939-12-15    导演:维克多·弗莱明 / 乔治·库克 / 山姆·伍德    编剧:玛格丽特·米歇尔 / 西德尼·霍华德 / 奥利弗·H·P·加勒特 / 本·赫克特 / 乔·斯沃林 / 约翰·范·德鲁登    主演:费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰 / 托马斯·米切尔 / 芭芭拉·欧内尔 / 更多...    类型:/剧情/爱情/历史/战争    评论数::532755    五星比例:69.4%    四星比例:25.7%    三星比例:4.5%    二星比例:0.3%    一星比例:0.1%    
名字:何以为家    分数:9.1    制片国家:黎巴嫩 / 法国 / 美国    上映日期:2019-04-29    导演:娜丁·拉巴基    编剧:娜丁·拉巴基 / 吉哈德·霍加里 / 米歇尔·凯斯沃尼 / 乔治斯·哈巴兹 / 哈立德·穆扎纳    主演:赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗 / 博鲁瓦蒂夫·特雷杰·班科尔 / 卡萨尔·艾尔·哈达德 / 法迪·尤瑟夫 / 更多...    类型:/剧情    评论数::761186    五星比例:61.8%    四星比例:32.9%    三星比例:4.8%    二星比例:0.3%    一星比例:0.1%    
名字:指环王3：王者无敌    分数:9.2    制片国家:美国 / 新西兰    上映日期:2004-03-12    导演:彼得·杰克逊    编剧:弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J·R·R·托尔金    主演:伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森 / 奥兰多·布鲁姆 / 伊恩·麦克莱恩 / 更多...    类型:/剧情/动作/奇幻/冒险    评论数::587498    五星比例:67.9%    四星比例:25.8%    三星比例:5.7%    二星比例:0.4%    一星比例:0.2%    
名字:摔跤吧！爸爸    分数:9.0    制片国家:印度    上映日期:2017-05-05    导演:涅提·蒂瓦里    编剧:比于什·古普塔 / 施热亚·简 / 尼基尔·麦罗特拉 / 涅提·蒂瓦里    主演:阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 更多...    类型:/剧情/家庭/传记/运动    评论数::1221241    五星比例:59.0%    四星比例:33.8%    三星比例:6.7%    二星比例:0.4%    一星比例:0.1%    
